# Logger type: CL2000
# HW rev: 8.2x
# FW rev: 5.86
# Logger ID: id0001
# Session No.: 7
# Split No.: 1
# Time: 20240727T152034
# Value separator: ";"
# Time format: 4
# Time separator: ""
# Time separator ms: ""
# Date separator: ""
# Time and date separator: "T"
# Bit-rate: 500000
# Silent mode: false
# Cyclic mode: false
Timestamp;Type;ID;Data
27T152034150;0;e9;10f5ffff0032a05a
27T152034169;0;e9;f1f6ffff0036a05a
27T152034189;0;e9;fef7ffff0034a046
27T152034209;0;e9;f3f8ffff0034a05a
27T152034230;0;e9;adf9ffff0036a05a
27T152034249;0;e9;4ffaffff0030a05a
27T152034269;0;e9;1efbffff0038a05a
27T152034289;0;e9;9ffcffff0032a05a
27T152034309;0;e9;c7fdffff0034a05a
27T152034330;0;e9;25feffff0032a05a
27T152034349;0;e9;21f0ffff0034a05a
27T152034369;0;e9;79f1ffff0032a05a
27T152034389;0;e9;9ef2ffff0032a05a
27T152034409;0;e9;c3f3ffff0032a05a
27T152034429;0;e9;1cf4ffff0032a046
27T152034449;0;e9;16f5ffff0036a05a
27T152034469;0;e9;f4f6ffff0030a05a
27T152034489;0;e9;acf7ffff0036a05a
27T152034509;0;e9;f6f8ffff0032a05a
27T152034529;0;e9;adf9ffff0036a05a
27T152034549;0;e9;4ffaffff0030a05a
27T152034569;0;e9;14fbffff0034a05a
27T152034589;0;e9;9afcffff0034a05a
27T152034609;0;e9;c2fdffff0032a05a
27T152034630;0;e9;23feffff0036a05a
27T152034649;0;e9;24f0ffff0032a05a
27T152034669;0;e9;7ff1ffff0036a05a
27T152034689;0;e9;ccf2ffff0030a046
27T152034709;0;e9;c5f3ffff0036a05a
27T152034729;0;e9;48f4ffff0034a05a
27T152034749;0;e9;10f5ffff0032a05a
27T152034769;0;e9;f2f6ffff0034a05a
27T152034789;0;e9;aff7ffff0034a05a
27T152034809;0;e9;f0f8ffff0036a05a
27T152034830;0;e9;a8f9ffff0030a05a
27T152034849;0;e9;43faffff0038a05a
27T152034869;0;e9;12fbffff0030a05a
27T152034889;0;e9;9ffcffff0032a05a
27T152034909;0;e9;c4fdffff0036a05a
27T152034930;0;e9;23feffff0036a05a
27T152034949;0;e9;21f0ffff0034a05a
27T152034969;0;e9;7cf1ffff0034a05a
27T152034989;0;e9;91f2ffff0038a05a
27T152035009;0;e9;c0f3ffff0030a05a
27T152035030;0;e9;4df4ffff0032a05a
27T152035049;0;e9;10f5ffff0032a05a
27T152035069;0;e9;f1f6ffff0036a05a
27T152035089;0;e9;aaf7ffff0032a05a
27T152035109;0;e9;f9f8ffff0038a05a
27T152035130;0;e9;abf9ffff0032a05a
27T152035149;0;e9;4ffaffff0030a05a
27T152035169;0;e9;11fbffff0032a05a
27T152035189;0;e9;99fcffff0036a05a
27T152035209;0;e9;c7fdffff0034a05a
27T152035230;0;e9;26feffff0030a05a
27T152035249;0;e9;22f0ffff0036a05a
27T152035269;0;e9;79f1ffff0032a05a
27T152035289;0;e9;98f2ffff0036a05a
27T152035309;0;e9;91f3ffff0030a046
27T152035329;0;e9;48f4ffff0034a05a
27T152035349;0;e9;10f5ffff0032a05a
27T152035369;0;e9;f7f6ffff0032a05a
27T152035389;0;e9;acf7ffff0036a05a
27T152035409;0;e9;f6f8ffff0032a05a
27T152035430;0;e9;adf9ffff0036a05a
27T152035449;0;e9;4cfaffff0032a05a
27T152035469;0;e9;17fbffff0036a05a
27T152035489;0;e9;9ffcffff0032a05a
27T152035509;0;e9;c7fdffff0034a05a
27T152035530;0;e9;26feffff0030a05a
27T152035549;0;e9;21f0ffff0034a05a
27T152035569;0;e9;7cf1ffff0034a05a
27T152035589;0;e9;9df2ffff0030a05a
27T152035609;0;e9;c6f3ffff0034a05a
27T152035630;0;e9;4df4ffff0032a05a
27T152035649;0;e9;16f5ffff0036a05a
27T152035669;0;e9;f7f6ffff0032a05a
27T152035689;0;e9;f4f7ffff0038a046
27T152035709;0;e9;f3f8ffff0034a05a
27T152035729;0;e9;aef9ffff0034a05a
27T152035749;0;e9;4cfaffff0032a05a
27T152035769;0;e9;12fbffff0030a05a
27T152035789;0;e9;9afcffff0034a05a
27T152035809;0;e9;c2fdffff0032a05a
27T152035830;0;e9;23feffff0036a05a
27T152035849;0;e9;27f0ffff0030a05a
27T152035869;0;e9;7cf1ffff0034a05a
27T152035889;0;e9;9bf2ffff0034a05a
27T152035909;0;e9;c5f3ffff0036a05a
27T152035929;0;e9;48f4ffff0034a05a
27T152035949;0;e9;4df5ffff003aa046
27T152035969;0;e9;f1f6ffff0036a05a
27T152035989;0;e9;a9f7ffff0030a05a
27T152036009;0;e9;f0f8ffff0036a05a
27T152036030;0;e9;aef9ffff0034a05a
27T152036049;0;e9;4cfaffff0032a05a
27T152036069;0;e9;14fbffff0034a05a
27T152036089;0;e9;90fcffff0038a05a
27T152036109;0;e9;c2fdffff0032a05a
27T152036130;0;e9;20feffff0034a05a
27T152036150;0;e9;24f0ffff0032a05a
27T152036169;0;e9;79f1ffff0032a05a
27T152036189;0;e9;cff2ffff0032a046
27T152036209;0;e9;c5f3ffff0036a05a
27T152036230;0;e9;48f4ffff0034a05a
27T152036249;0;e9;15f5ffff0034a05a
27T152036269;0;e9;f8f6ffff0038a05a
27T152036289;0;e9;aaf7ffff0032a05a
27T152036309;0;e9;f3f8ffff0034a05a
27T152036329;0;e9;abf9ffff0032a05a
27T152036349;0;e9;1bfaffff0036a046
27T152036369;0;e9;14fbffff0034a05a
27T152036389;0;e9;9afcffff0034a05a
27T152036409;0;e9;c7fdffff0034a05a
27T152036430;0;e9;26feffff0030a05a
27T152036449;0;e9;21f0ffff0034a05a
27T152036469;0;e9;79f1ffff0032a05a
27T152036489;0;e9;98f2ffff0036a05a
27T152036509;0;e9;c3f3ffff0032a05a
27T152036529;0;e9;4bf4ffff0036a05a
27T152036549;0;e9;10f5ffff0032a05a
27T152036569;0;e9;f2f6ffff0034a05a
27T152036589;0;e9;aaf7ffff0032a05a
27T152036609;0;e9;f3f8ffff0034a05a
27T152036630;0;e9;a4f9ffff0038a05a
27T152036649;0;e9;4cfaffff0032a05a
27T152036669;0;e9;17fbffff0036a05a
27T152036689;0;e9;9ffcffff0032a05a
27T152036709;0;e9;c4fdffff0036a05a
27T152036729;0;e9;26feffff0030a05a
27T152036749;0;e9;21f0ffff0034a05a
27T152036769;0;e9;7ff1ffff0036a05a
27T152036789;0;e9;98f2ffff0036a05a
27T152036809;0;e9;c3f3ffff0032a05a
27T152036830;0;e9;4ef4ffff0030a05a
27T152036849;0;e9;15f5ffff0034a05a
27T152036869;0;e9;f4f6ffff0030a05a
27T152036889;0;e9;acf7ffff0036a05a
27T152036909;0;e9;f6f8ffff0032a05a
27T152036929;0;e9;a4f9ffff0038a05a
27T152036949;0;e9;4cfaffff0032a05a
27T152036969;0;e9;12fbffff0030a05a
27T152036989;0;e9;99fcffff0036a05a
