# Logger type: CL2000
# HW rev: 8.2x
# FW rev: 5.86
# Logger ID: id0001
# Session No.: 8
# Split No.: 1
# Time: 20240731T111541
# Value separator: ";"
# Time format: 4
# Time separator: ""
# Time separator ms: ""
# Date separator: ""
# Time and date separator: "T"
# Bit-rate: 500000
# Silent mode: false
# Cyclic mode: false
Timestamp;Type;ID;Data
31T111541096;0;79b;024104cccccccccc
31T111541096;0;7ac;024104cccccccccc
31T111541103;0;e9;3af2ffff00309d1c
31T111541103;0;78b;037f011100000000
31T111541106;0;7aa;037f0111cccccccc
31T111541110;0;7a8;037f0111ffffffff
31T111541123;0;e9;67f3ffff00309d1c
31T111541136;0;79c;037f0178cccccccc
31T111541137;0;78a;037f0178cccccccc
31T111541137;0;789;037f0178cccccccc
31T111541137;0;79e;037f0178cccccccc
31T111541137;0;7af;037f0178cccccccc
31T111541143;0;e9;e3f4ffff002e9d30
31T111541163;0;e9;b7f5ffff00329d1c
31T111541183;0;e9;53f6ffff00309d1c
31T111541203;0;e9;0ef7ffff00309d1c
31T111541223;0;e9;52f8ffff00309d1c
31T111541243;0;e9;0cf9ffff00329d1c
31T111541263;0;e9;f9faffff002e9d1c
31T111541282;0;e9;bffbffff002e9d30
31T111541303;0;e9;38fcffff00329d1c
31T111541323;0;e9;66fdffff00309d1c
31T111541343;0;e9;81feffff00309d1c
31T111541363;0;e9;83f0ffff00329d1c
31T111541383;0;e9;ddf1ffff00309d1c
31T111541403;0;e9;2bf2ffff002e9d1c
31T111541423;0;e9;67f3ffff00309d1c
31T111541443;0;e9;e9f4ffff00309d1c
31T111541463;0;e9;aff5ffff00309d30
31T111541482;0;e9;53f6ffff00309d1c
31T111541496;0;79b;024105cccccccccc
31T111541496;0;7ac;024105cccccccccc
31T111541503;0;78b;037f011100000000
31T111541503;0;e9;0df7ffff00329d1c
31T111541504;0;7aa;037f0111cccccccc
31T111541507;0;7a8;037f0111ffffffff
31T111541523;0;e9;43f8ffff002e9d1c
31T111541537;0;79c;037f0178cccccccc
31T111541537;0;78a;037f0178cccccccc
31T111541537;0;789;037f0178cccccccc
31T111541537;0;79e;037f0178cccccccc
31T111541538;0;7af;037f0178cccccccc
31T111541543;0;e9;0ff9ffff00309d1c
31T111541563;0;e9;ebfaffff00329d1c
31T111541582;0;e9;b5fbffff00309d1c
31T111541603;0;e9;8cfcffff002e9d12
31T111541623;0;e9;6cfdffff002e9d30
31T111541643;0;e9;90feffff002e9d1c
31T111541663;0;e9;92f0ffff002c9d1c
31T111541683;0;e9;ddf1ffff00309d1c
31T111541703;0;e9;3af2ffff00309d1c
31T111541723;0;e9;76f3ffff002e9d1c
31T111541743;0;e9;e9f4ffff00309d1c
31T111541763;0;e9;b4f5ffff00309d1c
31T111541782;0;e9;53f6ffff00309d1c
31T111541803;0;e9;1ff7ffff002e9d1c
31T111541823;0;e9;43f8ffff002e9d1c
31T111541843;0;e9;1ef9ffff002e9d1c
31T111541863;0;e9;f9faffff002e9d1c
31T111541883;0;e9;a4fbffff002e9d1c
31T111541896;0;7ac;02410acccccccccc
31T111541896;0;79b;02410acccccccccc
31T111541902;0;7aa;037f0111cccccccc
31T111541903;0;e9;2afcffff002e9d1c
31T111541903;0;78b;037f011100000000
31T111541908;0;7a8;037f0111ffffffff
31T111541923;0;e9;74fdffff002c9d1c
31T111541936;0;79c;037f0178cccccccc
31T111541937;0;78a;037f0178cccccccc
31T111541937;0;789;037f0178cccccccc
31T111541937;0;79e;037f0178cccccccc
31T111541944;0;e9;90feffff002e9d1c
31T111541947;0;7af;037f0178cccccccc
31T111541963;0;e9;8af0ffff002e9d30
31T111541982;0;e9;d7f1ffff002e9d30
31T111542003;0;e9;28f2ffff002c9d1c
31T111542023;0;e9;6df3ffff002e9d30
31T111542043;0;e9;e0f4ffff002c9d30
31T111542063;0;e9;a6f5ffff002c9d1c
31T111542083;0;e9;5af6ffff002c9d30
31T111542103;0;e9;1cf7ffff002c9d1c
31T111542123;0;e9;45f8ffff002a9d1c
31T111542144;0;e9;18f9ffff002a9d1c
31T111542163;0;e9;fffaffff002a9d1c
31T111542183;0;e9;a1fbffff00289d1c
31T111542203;0;e9;2cfcffff002a9d1c
31T111542223;0;e9;74fdffff002c9d1c
31T111542243;0;e9;96feffff002a9d1c
31T111542263;0;e9;97f0ffff002a9d1c
31T111542282;0;e9;d1f1ffff002a9d30
31T111542296;0;7ac;02410bcccccccccc
31T111542296;0;79b;02410bcccccccccc
31T111542302;0;78b;037f011100000000
31T111542303;0;e9;2ef2ffff00289d1c
31T111542306;0;7aa;037f0111cccccccc
31T111542307;0;7a8;037f0111ffffffff
31T111542317;0;79c;037f0178cccccccc
31T111542317;0;78a;037f0178cccccccc
31T111542317;0;789;037f0178cccccccc
31T111542317;0;79e;037f0178cccccccc
31T111542318;0;7af;037f0178cccccccc
31T111542323;0;e9;75f3ffff002c9d1c
31T111542344;0;e9;fef4ffff002a9d1c
31T111542363;0;e9;a0f5ffff00289d1c
31T111542383;0;e9;47f6ffff00289d1c
31T111542403;0;e9;19f7ffff002a9d1c
31T111542423;0;e9;54f8ffff00269d30
31T111542444;0;e9;1bf9ffff00289d1c
31T111542463;0;e9;fafaffff002c9d1c
31T111542482;0;e9;a7fbffff002c9d1c
31T111542503;0;e9;34fcffff00289d30
31T111542523;0;e9;71fdffff002a9d1c
31T111542544;0;e9;93feffff002c9d1c
31T111542563;0;e9;94f0ffff00289d1c
31T111542583;0;e9;caf1ffff002a9d1c
31T111542603;0;e9;2ef2ffff00289d1c
31T111542623;0;e9;73f3ffff00289d1c
31T111542643;0;e9;fdf4ffff00289d1c
31T111542663;0;e9;a3f5ffff002a9d1c
31T111542683;0;e9;44f6ffff002a9d1c
31T111542696;0;79b;02410ccccccccccc
31T111542696;0;7ac;02410ccccccccccc
31T111542701;0;78b;037f011100000000
31T111542703;0;e9;1af7ffff00289d1c
31T111542704;0;7aa;037f0111cccccccc
31T111542707;0;7a8;037f0111ffffffff
31T111542717;0;79c;037f0178cccccccc
31T111542717;0;78a;037f0178cccccccc
31T111542718;0;789;037f0178cccccccc
31T111542719;0;79e;037f0178cccccccc
31T111542719;0;7af;037f0178cccccccc
31T111542723;0;e9;45f8ffff002a9d1c
31T111542744;0;e9;1bf9ffff00289d1c
31T111542763;0;e9;fcfaffff00289d1c
31T111542782;0;e9;bcfbffff002c9d30
31T111542803;0;e9;2cfcffff002a9d1c
31T111542823;0;e9;7bfdffff00269d1c
31T111542843;0;e9;95feffff00289d1c
31T111542863;0;e9;97f0ffff002a9d1c
31T111542883;0;e9;c9f1ffff00289d1c
31T111542903;0;e9;2ef2ffff00289d1c
31T111542923;0;e9;70f3ffff002a9d1c
31T111542944;0;e9;fdf4ffff00289d1c
31T111542963;0;e9;b2f5ffff00269d30
31T111542982;0;e9;44f6ffff002a9d1c
31T111543003;0;e9;19f7ffff002a9d1c
